Price_date,Crude
2/3/2011,101.69
2/4/2011,99.43
2/7/2011,99.44
2/8/2011,99.25
2/9/2011,100.16
2/10/2011,100.74
2/11/2011,99.93
2/14/2011,103.12
2/15/2011,102.48
2/16/2011,102.78
2/17/2011,103.45
2/18/2011,102.2
2/21/2011,102.2
2/22/2011,106.82
2/23/2011,109.77
2/24/2011,113.91
2/25/2011,111.47
2/28/2011,112.27
3/1/2011,113.34
3/3/2011,114.42
3/4/2011,115.71
3/7/2011,116.58
3/8/2011,112.32
3/9/2011,115.19
3/10/2011,114.07
3/11/2011,114.07
3/14/2011,112.95
3/15/2011,111.11
3/16/2011,110.96
3/17/2011,114.18
3/18/2011,114.13
3/21/2011,114.92
3/22/2011,115.63
3/23/2011,115.65
3/24/2011,115.41
3/25/2011,115.45
3/28/2011,115.95
3/29/2011,115.58
3/30/2011,115.35
3/31/2011,116.94
4/1/2011,118.63
4/4/2011,120.07
4/5/2011,122.87
4/6/2011,123.01
4/7/2011,122.9
4/8/2011,126.3
4/11/2011,126.46
4/13/2011,122.7
4/15/2011,124.63
4/18/2011,121.69
4/19/2011,121.35
4/20/2011,124.26
4/21/2011,123.64
4/25/2011,123.64
4/26/2011,124.55
4/27/2011,124.94
4/28/2011,126.59
4/29/2011,126.59
5/2/2011,126.64
5/3/2011,124.01
5/4/2011,121.55
5/5/2011,111.93
5/6/2011,113.69
5/9/2011,113.21
5/10/2011,117.82
5/11/2011,115.66
5/12/2011,112.87
5/13/2011,113.08
5/16/2011,113.72
5/17/2011,109.39
5/18/2011,112.54
5/19/2011,113.2
5/20/2011,111.25
5/23/2011,110.13
5/24/2011,112.52
5/25/2011,114.47
5/26/2011,115.06
5/27/2011,114.85
5/30/2011,114.85
5/31/2011,117.18
6/1/2011,116.15
6/2/2011,114.3
6/3/2011,115.09
6/6/2011,115.4
6/7/2011,116.14
6/8/2011,118.43
6/9/2011,119.95
6/10/2011,118.71
6/13/2011,120.49
6/14/2011,120.35
6/15/2011,114.67
6/16/2011,114.69
6/17/2011,113.74
6/20/2011,112.21
6/21/2011,112.02
6/22/2011,113.59
6/23/2011,108.27
6/24/2011,104.79
6/27/2011,104.57
6/28/2011,107.57
6/29/2011,111.49
6/30/2011,111.71
7/1/2011,109.82
7/4/2011,109.82
7/5/2011,113.21
7/6/2011,113.55
7/7/2011,117.4
7/8/2011,117.4
7/11/2011,117.35
7/12/2011,117.36
7/13/2011,118.46
7/14/2011,117.38
7/15/2011,118.06
7/18/2011,117.05
7/19/2011,118.18
7/20/2011,118.52
7/21/2011,118.25
7/22/2011,118.99
7/25/2011,118.27
7/26/2011,118.14
7/27/2011,117.99
7/28/2011,118.16
7/29/2011,115.93
8/1/2011,116.37
8/2/2011,116.02
8/3/2011,113.74
8/4/2011,110.22
8/5/2011,106.92
8/8/2011,103.06
8/9/2011,103.63
8/10/2011,103.84
8/11/2011,107.82
8/12/2011,108.17
8/16/2011,109.69
8/17/2011,111.37
8/18/2011,108.36
8/19/2011,109.37
8/22/2011,108.83
8/23/2011,110.35
8/24/2011,111.91
8/25/2011,111.91
8/26/2011,112.29
8/29/2011,112.29
8/30/2011,115.59
9/2/2011,115.92
9/5/2011,115.92
9/6/2011,113.29
9/7/2011,117.5
9/8/2011,117.99
9/9/2011,115.1
9/12/2011,114.75
9/13/2011,114.08
9/14/2011,113.1
9/15/2011,116.71
9/16/2011,116.26
9/19/2011,112.89
9/20/2011,114.39
9/21/2011,114.26
9/22/2011,109.21
9/23/2011,109.17
9/26/2011,107.9
9/27/2011,109.54
9/28/2011,108.52
9/29/2011,107.08
9/30/2011,105.42
10/3/2011,103.61
10/4/2011,101.84
10/5/2011,103.77
10/7/2011,106.56
10/10/2011,109.49
10/11/2011,109.22
10/12/2011,112.44
10/13/2011,112.45
10/14/2011,114.33
10/17/2011,112.92
10/18/2011,112.08
10/19/2011,111.76
10/20/2011,109
10/21/2011,111.6
10/24/2011,111.67
10/25/2011,112.11
10/26/2011,110.43
10/28/2011,110.01
10/31/2011,108.43
11/1/2011,106.97
11/2/2011,110.82
11/3/2011,110.76
11/4/2011,112.22
11/8/2011,115.61
11/9/2011,115.29
11/11/2011,114.43
11/14/2011,112.57
11/15/2011,111.9
11/16/2011,111.91
11/17/2011,109.25
11/18/2011,107.82
11/21/2011,105.98
11/22/2011,107.77
11/23/2011,106.83
11/24/2011,106.83
11/25/2011,106.08
11/28/2011,109.38
11/29/2011,111.25
11/30/2011,111.22
12/1/2011,108.83
12/2/2011,109.59
12/5/2011,110.18
12/7/2011,110.07
12/8/2011,108.23
12/9/2011,107.91
12/12/2011,107.82
12/13/2011,109.25
12/14/2011,105.72
12/15/2011,104.52
12/16/2011,104
