Date,D3,D4,D5,D6
3/1/2011,1.2,0.854260021,0.531345198,0.010102432
3/3/2011,1.2,0.876075535,0.507670536,0.010250021
3/4/2011,1.2,0.907353282,0.482660607,0.0102726
3/7/2011,1.2,0.93,0.47,0.01
3/8/2011,1.2,0.94401569,0.469688716,0.009432221
3/9/2011,1.2,0.949400352,0.481726754,0.008569262
3/10/2011,1.2,0.946803258,0.503636644,0.007642751
3/11/2011,1.2,0.94012005,0.520553549,0.008042455
3/14/2011,1.2,0.93,0.53,0.01
3/15/2011,1.2,0.916443108,0.531975995,0.013515387
3/16/2011,1.2,0.899449375,0.526481535,0.018588614
3/17/2011,1.2,0.878304914,0.515309603,0.02469347
3/18/2011,1.2,0.848726418,0.509218097,0.02867267
3/21/2011,1.2,0.81,0.51,0.03
3/22/2011,1.2,0.762125661,0.517655313,0.02867546
3/23/2011,1.2,0.705103401,0.532184035,0.024699051
3/24/2011,1.2,0.645767255,0.551305741,0.018596428
3/25/2011,1.2,0.625121443,0.561337871,0.013521526
3/28/2011,1.2,0.65,0.56,0.01
3/29/2011,1.2,0.720402926,0.547292127,0.008031851
3/30/2011,1.2,0.836330221,0.523214253,0.007617078
3/31/2011,1.2,0.986691553,0.490855952,0.008527961
4/1/2011,1.2,1.104944923,0.468754676,0.009398176
4/4/2011,1.2,1.18,0.46,0.01
4/5/2011,1.2,1.211856783,0.464591924,0.010333435
4/6/2011,1.2,1.200515272,0.482530448,0.010398479
4/7/2011,1.2,1.155283428,0.510358547,0.010235803
4/8/2011,1.2,1.132009017,0.527334073,0.010089421
4/11/2011,1.2,1.14,0.53,0.01
4/13/2011,1.2,1.179256377,0.518356329,0.009967542
4/15/2011,1.2,1.239604225,0.495498594,0.009983878
4/18/2011,1.2,1.26,0.48,0.01
4/19/2011,1.2,1.23026978,0.474956082,0.010007741
4/20/2011,1.2,1.150413564,0.48036684,0.010007099
4/21/2011,1.2,1.062850566,0.493094178,0.010002908
4/25/2011,1.2,1.01,0.51,0.01
4/26/2011,1.2,0.991861866,0.531084306,0.009998374
4/27/2011,1.2,1.008436165,0.556347095,0.009998031
4/28/2011,1.2,1.05426555,0.585100114,0.009998782
4/29/2011,1.2,1.096605943,0.613213834,0.009999501
5/2/2011,1.2,1.13,0.64,0.01
5/3/2011,1.2,1.154447719,0.665458612,0.010000279
5/4/2011,1.2,1.169949102,0.689589671,0.010000338
5/5/2011,1.2,1.177993138,0.712232475,0.010000209
5/6/2011,1.2,1.187513774,0.732422819,0.010000086
5/9/2011,1.2,1.2,0.75,0.01
5/10/2011,1.2,1.215451817,0.764964019,0.009999952
5/11/2011,1.2,1.233869224,0.777314877,0.009999942
5/12/2011,1.2,1.253375622,0.786305033,0.009999964
5/13/2011,1.2,1.262711414,0.787449254,0.009999985
5/16/2011,1.2,1.26,0.78,0.01
5/17/2011,1.2,1.24524138,0.763957271,0.010000008
5/18/2011,1.2,1.218435554,0.739321068,0.01000001
5/19/2011,1.2,1.182553129,0.707137325,0.010000006
5/20/2011,1.2,1.155417742,0.673681658,0.010000002
5/23/2011,1.2,1.14,0.64,0.01
5/24/2011,1.2,1.136299903,0.606092353,0.009999999
5/25/2011,1.2,1.144317451,0.571958716,0.009999998
5/26/2011,1.2,1.162105605,0.538871014,0.009999999
5/27/2011,1.2,1.177982134,0.514460801,0.01
5/30/2011,1.2,1.19,0.5,0.01
5/31/2011,1.2,1.198159202,0.495488612,0.01
